id,inst,instrument_de,instrument_fr,instrument_en,respondant_de,respondant_fr,respondant_en,type_de,type_fr,type_en,pct,plot,"label_de","label_fr","label_en"
IPf_AusmassDigital_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,Digitalisierung,numérisation,digitisation,56,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
IPf_Nachhaltigkeit_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte mit Umsetzungspartner,Projets d'innovation avec PdM,Innovation projects with IP,Forschende,chercheurs,researchers,Nachhaltigkeit,durabilité,sustainability,64,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
ISf_Nachhaltigkeit_2,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,56,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
ISf_Nachhaltigkeit_3,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,soziale Nachhaltigkeit,durabilité sociale,social sustainability,42,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
ISf_AusmassDigital_3,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,34,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
ISf_AusmassDigital_2,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,Digitale Technologien,technologies numériques,digital technologies,46,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
ISf_AusmassDigital_1,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,Digitalisierung,numérisation,digitisation,53,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
ISf_Nachhaltigkeit_1,Förderung für Schweizer Innovationsprojekte,Innovationsscheck,Chèque d'innovation,Innovation cheque,KMU,PME,SME,Nachhaltigkeit,durabilité,sustainability,72,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
RPf_Nachhaltigkeit_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,36,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
RPf_Nachhaltigkeit_3,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,soziale Nachhaltigkeit,durabilité sociale,social sustainability,42,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
RPf_AusmassDigital_3,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,23,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
RPf_AusmassDigital_2,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,Digitale Technologien,technologies numériques,digital technologies,34,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
RPf_AusmassDigital_1,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,Digitalisierung,numérisation,digitisation,39,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
RPf_Nachhaltigkeit_1,Förderung für Schweizer Innovationsprojekte,Innovationsprojekte ohne Umsetzungspartner,Projets d'innovation sans PdM,Innovation projects without IP,Forschende,chercheurs,researchers,Nachhaltigkeit,durabilité,sustainability,64,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
CCf_Nachhaltigkeit_2,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,Start-up,start-up,start-up,ökologische Nachhaltigkeit,durabilité environnementale,environmental sustainability,53,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
CCf_Nachhaltigkeit_3,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,Start-up,start-up,start-up,soziale Nachhaltigkeit,durabilité sociale,social sustainability,55,nachhaltig,"Anteil der Innovationsvorhaben, die zur ökologischen oder sozialen Nachhaltigkeit beitragen in %","Part des projets d'innovation contribuant à la durabilité environnementale ou sociale en %.","Share of innovation projects that contribute to environmental or social sustainability in %."
CCf_AusmassDigital_3,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,Start-up,start-up,start-up,Digitale Geschäftsmodelle,modèles d'entreprise numériques,digital business models,48,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
CCf_AusmassDigital_2,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,Start-up,start-up,start-up,Digitale Technologien,technologies numériques,digital technologies,59,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
CCf_AusmassDigital_1,Begleitung von Start-ups,Start-up Core Coaching,Start-up Core Coaching,Start-up Core Coaching,Start-up,start-up,start-up,Digitalisierung,numérisation,digitisation,63,digital,"Anteil der Innovationsvorhaben, die auf neuen digitalen Technologien oder Geschäftsmodellen basieren in %","Part des projets d'innovation basés sur de nouvelles technologies numériques ou de nouveaux modèles d'entreprise, en %.","Share of innovation projects based on new digital technologies or business models in %"
